learner_id,archetype,learning_rate,ceiling,noise_level,institution,country,institution_type,age,prior_experience,experience_bonus,primary_process,enrollment_date,param_strengths,total_sessions
SKV-0001,steady_learner,0.06664359645859239,83.9134131081363,4.418561938300207,ITI_Chennai,India,Industrial,41,none,0,GMAW,2024-07-16,"[1.1212618341767833, 0.9302946239171782, 0.9369796231386223, 0.9314343801095031, 0.8891100594703474, 0.7]",31
SKV-0002,plateau_learner,0.10201874931138681,72.02621849859092,6.093961187529484,ITI_Chennai,India,Industrial,27,none,0,GTAW,2024-11-04,"[0.9459921434224907, 1.0747419918816998, 0.8718855484740886, 0.9829144617974448, 1.014435475805428, 1.0617326600870498]",28
SKV-0003,steady_learner,0.0493132832176519,87.92273320077226,3.471740524600614,NSDC_Delhi,India,Government,24,none,0,GTAW,2023-10-02,"[1.0291024510735023, 1.021581450247367, 0.9598177273148664, 1.2370032824356938, 0.9943282416845189, 0.8130457218787999]",24
SKV-0004,steady_learner,0.09182812088500573,69.42905486392009,4.381260838369303,Maruti_Training,India,Corporate,28,some_manual,8,GMAW,2024-05-11,"[0.9688899468903729, 1.1480424305651242, 1.0778709052608395, 0.8329604395374388, 0.8993935010658538, 1.0624797304641052]",27
SKV-0005,plateau_learner,0.1336766331624482,82.82501172450542,4.7129635392397144,Community_College_CA,USA,CTE_School,20,none,0,GMAW,2023-05-04,"[1.1113408153697484, 1.00684157498765, 1.0322310734635909, 1.183416211169504, 1.060940290754755, 1.064595529485956]",32
SKV-0006,plateau_learner,0.16593971233738408,72.72433832328778,4.770454269686163,Welding_Academy_UK,UK,Vocational,19,none,0,GMAW,2023-04-15,"[0.9150053844878004, 1.0411378194883147, 0.9001247340258193, 0.7349018057093559, 0.8934222525127148, 0.9631742621575152]",32
SKV-0007,slow_starter,0.08757419492526701,69.2861813324729,3.5798377619191246,NSDC_Delhi,India,Government,22,none,0,GMAW,2023-10-30,"[0.9282748583520289, 0.8168474803933345, 1.0039090692890273, 1.0256684641841778, 0.9772703594822141, 0.8151702841562708]",31
SKV-0008,slow_starter,0.06795854099893618,72.0665624996664,3.6958222228138786,ITI_Chennai,India,Industrial,21,some_manual,8,GTAW,2024-01-04,"[0.8692440355189134, 0.9058285710246756, 0.9555390281691966, 0.8313319576985629, 1.0018742000739524, 1.1082732608543977]",30
SKV-0009,struggling,0.020653516273524103,67.13589588422121,8.688209743494303,ITI_Mumbai,India,Industrial,24,none,0,GTAW,2023-05-26,"[0.8702635464642806, 1.0900643338522367, 1.0837865003362575, 0.895602376903011, 0.9208448438728106, 0.9829590864364568]",33
SKV-0010,slow_starter,0.06585430964283706,78.98687889728441,8.17725385608719,Welding_Academy_UK,UK,Vocational,22,some_manual,8,SMAW,2023-03-08,"[1.083448296946036, 0.8630789788296714, 0.9866189407428467, 0.9034040222976927, 0.9534760100309727, 0.9503661201244429]",32
