learner_id,session_id,session_number,session_date,institution,country,institution_type,age,prior_experience,archetype,welding_process,welding_position,position_difficulty,session_duration_min,num_exercises,total_practice_minutes,days_since_enrollment,consecutive_practice_days,session_gap_days,score_work_angle,score_travel_angle,score_travel_speed,score_contact_tip_distance,score_arc_length,score_bead_quality,overall_score,improvement_rate
SKV-0001,SKV-0001-S001,1,2024-07-16,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,1G_Flat,1.0,59,11,59,0,0,0,45.84,41.2,39.01,39.42,35.88,33.23,38.8,0.0
SKV-0001,SKV-0001-S002,2,2024-07-18,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,1G_Flat,1.0,29,7,88,2,1,2,73.95,63.04,57.26,59.37,50.58,40.4,56.57,17.77
SKV-0001,SKV-0001-S003,3,2024-07-19,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,3G_Vertical,1.35,36,3,124,3,2,1,47.57,43.22,47.27,48.26,41.53,33.52,43.25,-13.32
SKV-0001,SKV-0001-S004,4,2024-07-20,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,2G_Horizontal,1.15,59,3,183,4,3,1,68.14,57.73,51.3,53.4,54.45,45.42,54.4,11.15
SKV-0001,SKV-0001-S005,5,2024-07-21,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,1G_Flat,1.0,50,5,233,5,4,1,66.02,54.52,56.11,46.84,48.47,41.58,51.91,-2.49
SKV-0001,SKV-0001-S006,6,2024-07-22,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,5G_Pipe,1.7,37,4,270,6,5,1,51.04,46.25,43.56,43.68,46.07,36.0,43.97,-7.94
SKV-0001,SKV-0001-S007,7,2024-07-23,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,4G_Overhead,1.55,55,8,325,7,6,1,52.93,42.81,37.27,39.23,36.37,25.22,38.2,-5.77
SKV-0001,SKV-0001-S008,8,2024-07-25,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,5G_Pipe,1.7,51,6,376,9,7,2,49.27,33.42,33.91,32.58,33.13,22.38,33.52,-4.68
SKV-0001,SKV-0001-S009,9,2024-07-27,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,3G_Vertical,1.35,45,4,421,11,8,2,68.89,59.14,59.44,52.5,57.56,42.42,56.09,22.57
SKV-0001,SKV-0001-S010,10,2024-07-29,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,1G_Flat,1.0,77,4,498,13,9,2,77.45,65.92,61.55,59.04,59.3,44.96,60.56,4.47
SKV-0001,SKV-0001-S011,11,2024-07-31,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,1G_Flat,1.0,31,5,529,15,10,2,76.01,56.98,61.22,65.93,54.17,45.38,59.28,-1.28
SKV-0001,SKV-0001-S012,12,2024-08-01,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,4G_Overhead,1.55,56,7,585,16,11,1,67.78,61.25,58.15,60.61,56.8,43.05,57.21,-2.07
SKV-0001,SKV-0001-S013,13,2024-08-03,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,4G_Overhead,1.55,64,4,649,18,12,2,64.65,53.34,55.07,60.44,52.7,40.01,53.68,-3.53
SKV-0001,SKV-0001-S014,14,2024-08-07,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,4G_Overhead,1.55,32,6,681,22,11,4,74.94,58.78,48.91,51.77,44.66,40.78,52.46,-1.22
SKV-0001,SKV-0001-S015,15,2024-08-09,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,5G_Pipe,1.7,42,5,723,24,12,2,56.36,41.75,45.74,50.9,47.7,31.3,44.91,-7.55
SKV-0001,SKV-0001-S016,16,2024-08-10,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,6G_Pipe45,1.9,50,6,773,25,13,1,67.14,59.17,50.72,58.86,56.02,41.49,54.62,9.71
SKV-0001,SKV-0001-S017,17,2024-08-15,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,4G_Overhead,1.55,48,8,821,30,12,5,68.63,57.96,53.7,57.28,49.65,39.68,53.7,-0.92
SKV-0001,SKV-0001-S018,18,2024-08-16,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,1G_Flat,1.0,46,7,867,31,13,1,85.51,72.6,82.45,78.45,78.1,59.56,75.6,21.9
SKV-0001,SKV-0001-S019,19,2024-08-23,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,3G_Vertical,1.35,72,6,939,38,12,7,60.56,53.83,48.77,50.24,49.55,38.98,49.68,-25.92
SKV-0001,SKV-0001-S020,20,2024-08-24,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,4G_Overhead,1.55,39,9,978,39,13,1,69.06,63.48,52.2,63.42,52.96,38.05,55.39,5.71
SKV-0001,SKV-0001-S021,21,2024-08-25,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,3G_Vertical,1.35,73,3,1051,40,14,1,85.37,63.45,64.18,65.44,67.49,48.32,64.76,9.37
SKV-0001,SKV-0001-S022,22,2024-08-28,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,1G_Flat,1.0,45,6,1096,43,13,3,87.5,72.73,63.22,73.67,64.39,56.96,68.78,4.02
SKV-0001,SKV-0001-S023,23,2024-08-30,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,3G_Vertical,1.35,46,5,1142,45,14,2,75.43,67.57,67.8,63.4,65.77,52.79,64.94,-3.84
SKV-0001,SKV-0001-S024,24,2024-08-31,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,6G_Pipe45,1.9,54,7,1196,46,15,1,54.97,42.7,45.97,53.27,54.31,35.58,47.1,-17.84
SKV-0001,SKV-0001-S025,25,2024-09-05,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,6G_Pipe45,1.9,48,4,1244,51,14,5,63.18,50.66,51.5,53.45,46.44,43.08,50.98,3.88
SKV-0001,SKV-0001-S026,26,2024-09-12,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,1G_Flat,1.0,26,7,1270,58,13,7,81.78,69.25,60.95,74.45,65.41,51.66,66.16,15.18
SKV-0001,SKV-0001-S027,27,2024-09-13,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,5G_Pipe,1.7,65,5,1335,59,14,1,70.76,60.57,54.16,51.84,49.22,38.16,53.32,-12.84
SKV-0001,SKV-0001-S028,28,2024-09-15,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,1G_Flat,1.0,67,5,1402,61,15,2,76.04,62.76,70.17,69.68,67.17,51.38,65.66,12.34
SKV-0001,SKV-0001-S029,29,2024-09-18,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,6G_Pipe45,1.9,32,6,1434,64,14,3,79.29,64.04,66.82,68.67,70.48,57.99,67.33,1.67
SKV-0001,SKV-0001-S030,30,2024-09-20,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,3G_Vertical,1.35,33,10,1467,66,15,2,83.57,64.32,73.96,62.88,57.39,49.94,65.0,-2.33
SKV-0001,SKV-0001-S031,31,2024-09-22,ITI_Chennai,India,Industrial,41,none,steady_learner,GMAW,3G_Vertical,1.35,59,7,1526,68,16,2,78.17,60.05,52.54,62.74,55.27,44.68,57.88,-7.12
SKV-0002,SKV-0002-S001,1,2024-11-04,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,3G_Vertical,1.35,46,9,46,0,0,0,35.9,34.04,32.19,34.55,38.96,35.49,35.05,0.0
SKV-0002,SKV-0002-S002,2,2024-11-05,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,1G_Flat,1.0,60,2,106,1,1,1,34.1,39.71,22.16,30.07,36.53,37.62,33.02,-2.03
SKV-0002,SKV-0002-S003,3,2024-11-08,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,1G_Flat,1.0,44,7,150,4,0,3,28.36,24.46,23.09,21.92,28.89,30.4,26.24,-6.78
SKV-0002,SKV-0002-S004,4,2024-11-09,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,2G_Horizontal,1.15,44,7,194,5,1,1,18.46,20.85,13.91,13.51,17.3,19.78,17.26,-8.98
SKV-0002,SKV-0002-S005,5,2024-11-12,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,1G_Flat,1.0,52,8,246,8,0,3,22.27,30.42,24.31,24.18,24.75,27.86,25.68,8.42
SKV-0002,SKV-0002-S006,6,2024-11-16,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,1G_Flat,1.0,69,5,315,12,0,4,15.64,22.82,20.84,18.22,22.59,29.24,21.91,-3.77
SKV-0002,SKV-0002-S007,7,2024-11-17,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,2G_Horizontal,1.15,42,5,357,13,1,1,27.88,42.61,34.61,36.63,43.91,43.24,38.22,16.31
SKV-0002,SKV-0002-S008,8,2024-11-19,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,2G_Horizontal,1.15,29,5,386,15,2,2,27.56,27.36,31.61,33.81,36.35,35.45,32.17,-6.05
SKV-0002,SKV-0002-S009,9,2024-11-20,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,2G_Horizontal,1.15,39,5,425,16,3,1,40.63,49.09,40.45,44.43,43.05,44.89,43.65,11.48
SKV-0002,SKV-0002-S010,10,2024-11-21,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,3G_Vertical,1.35,46,7,471,17,4,1,30.41,34.68,24.98,33.56,23.62,28.35,29.01,-14.64
SKV-0002,SKV-0002-S011,11,2024-11-24,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,3G_Vertical,1.35,27,6,498,20,3,3,33.66,35.45,27.6,37.96,34.72,39.19,34.63,5.62
SKV-0002,SKV-0002-S012,12,2024-11-29,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,2G_Horizontal,1.15,15,4,513,25,2,5,46.85,54.51,51.05,50.96,53.61,54.83,52.07,17.44
SKV-0002,SKV-0002-S013,13,2024-11-30,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,3G_Vertical,1.35,53,8,566,26,3,1,35.38,46.45,32.89,29.61,31.62,31.74,34.38,-17.69
SKV-0002,SKV-0002-S014,14,2024-12-05,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,2G_Horizontal,1.15,49,5,615,31,2,5,41.47,43.47,38.08,43.18,46.6,44.67,42.76,8.38
SKV-0002,SKV-0002-S015,15,2024-12-10,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,4G_Overhead,1.55,59,6,674,36,1,5,37.29,48.04,34.11,41.61,40.72,44.38,40.85,-1.91
SKV-0002,SKV-0002-S016,16,2024-12-12,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,5G_Pipe,1.7,40,4,714,38,2,2,37.08,47.54,41.61,49.41,51.65,45.88,45.35,4.5
SKV-0002,SKV-0002-S017,17,2024-12-13,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,3G_Vertical,1.35,47,7,761,39,3,1,48.05,55.32,39.9,58.98,54.77,54.66,51.48,6.13
SKV-0002,SKV-0002-S018,18,2024-12-27,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,4G_Overhead,1.55,33,6,794,53,2,14,56.94,59.5,47.54,51.56,55.75,65.53,56.18,4.7
SKV-0002,SKV-0002-S019,19,2024-12-28,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,1G_Flat,1.0,61,4,855,54,3,1,57.01,71.67,59.74,60.64,60.91,65.52,62.59,6.41
SKV-0002,SKV-0002-S020,20,2024-12-29,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,4G_Overhead,1.55,41,5,896,55,4,1,41.5,52.26,31.3,37.07,42.02,40.95,40.38,-22.21
